Population	Exposed	TotalExposed	Symptomatic	Asymptomatic	Death	Recovered	TotalRecovered	MinutesPassed
100000	2	0	0	0	0	0	0	0
100000	2	0	0	0	0	0	0	0
100000	2	0	0	0	0	0	0	4
100000	2	0	0	0	0	0	0	8
100000	2	0	0	0	0	0	0	11
100000	2	0	0	0	0	0	0	14
100000	2	0	0	0	0	0	0	18
100000	2	0	0	0	0	0	0	21
100000	2	0	0	0	0	0	0	24
100000	2	0	0	0	0	0	0	27
100000	2	0	0	0	0	0	0	30
100000	2	0	0	0	0	0	0	33
100000	2	0	0	0	0	0	0	36
100000	2	0	0	0	0	0	0	39
100000	2	0	0	0	0	0	0	43
100000	2	0	0	0	0	0	0	46
100000	2	0	0	0	0	0	0	50
100000	2	0	0	0	0	0	0	54
100000	2	0	0	0	0	0	0	58
100000	2	0	0	0	0	0	0	62
100000	2	0	0	0	0	0	0	66
100000	2	0	0	0	0	0	0	70
100000	2	0	0	0	0	0	0	74
100000	2	0	0	0	0	0	0	77
100000	2	0	0	0	0	0	0	80
100000	2	0	0	0	0	0	0	83
100000	2	0	0	0	0	0	0	86
100000	2	0	0	0	0	0	0	89
100000	2	0	0	0	0	0	0	93
100000	2	0	0	0	0	0	0	96
100000	2	0	0	0	0	0	0	99
100000	2	0	0	0	0	0	0	102
100000	2	0	0	0	0	0	0	105
100000	2	0	0	0	0	0	0	108
100000	2	0	0	0	0	0	0	111
100000	2	0	0	0	0	0	0	113
100000	2	0	0	0	0	0	0	116
100000	2	0	0	0	0	0	0	120
100000	2	0	0	0	0	0	0	122
100000	2	0	0	0	0	0	0	125
100000	2	0	0	0	0	0	0	128
100000	2	0	0	0	0	0	0	131
100000	2	0	0	0	0	0	0	133
100000	2	0	0	0	0	0	0	136
100000	2	0	0	0	0	0	0	138
100000	2	0	0	0	0	0	0	141
100000	2	0	0	0	0	0	0	145
100000	2	0	0	0	0	0	0	148
100000	2	0	0	0	0	0	0	151
100000	2	0	0	0	0	0	0	155
100000	2	0	0	0	0	0	0	158
100000	2	0	0	0	0	0	0	161
100000	2	0	0	0	0	0	0	164
100000	2	0	0	0	0	0	0	167
100000	2	0	0	0	0	0	0	170
100000	2	0	0	0	0	0	0	174
100000	2	0	0	0	0	0	0	176
100000	2	0	0	0	0	0	0	179
100000	2	0	0	0	0	0	0	182
100000	2	0	0	0	0	0	0	184
100000	2	0	0	0	0	0	0	186
100000	2	0	0	0	0	0	0	189
100000	2	0	0	0	0	0	0	190
100000	2	0	0	0	0	0	0	192
100000	2	0	0	0	0	0	0	195
100000	2	0	0	0	0	0	0	196
100000	2	0	0	0	0	0	0	198
100000	2	0	0	0	0	0	0	201
100000	2	0	0	0	0	0	0	202
100000	2	0	0	0	0	0	0	204
100000	2	0	0	0	0	0	0	206
100000	2	0	0	0	0	0	0	208
100000	2	0	0	0	0	0	0	210
100000	2	0	0	0	0	0	0	212
100000	2	0	0	0	0	0	0	213
100000	2	0	0	0	0	0	0	215
100000	2	0	0	0	0	0	0	217
100000	2	0	0	0	0	0	0	219
100000	2	0	0	0	0	0	0	220
100000	2	0	0	0	0	0	0	222
100000	2	0	0	0	0	0	0	224
100000	2	0	0	0	0	0	0	226
100000	2	0	0	0	0	0	0	228
100000	2	0	0	0	0	0	0	230
100000	2	0	0	0	0	0	0	232
100000	2	0	0	0	0	0	0	234
100000	2	0	0	0	0	0	0	236
100000	2	0	0	0	0	0	0	238
100000	2	0	0	0	0	0	0	240
100000	2	0	0	0	0	0	0	242
100000	2	0	0	0	0	0	0	244
100000	2	0	0	0	0	0	0	246
100000	2	0	0	0	0	0	0	248
100000	2	0	0	0	0	0	0	250
100000	2	0	0	0	0	0	0	252
100000	2	0	0	0	0	0	0	254
100000	2	0	0	0	0	0	0	256
100000	2	0	0	0	0	0	0	258
100000	2	0	0	0	0	0	0	259
100000	2	0	0	0	0	0	0	261
100000	2	0	0	0	0	0	0	263
100000	2	0	0	0	0	0	0	264
100000	2	0	0	0	0	0	0	266
100000	2	0	0	0	0	0	0	268
100000	2	0	0	0	0	0	0	269
100000	2	0	0	0	0	0	0	270
100000	2	0	0	0	0	0	0	272
100000	2	0	0	0	0	0	0	273
100000	2	0	0	0	0	0	0	275
100000	2	0	0	0	0	0	0	276
100000	2	0	0	0	0	0	0	277
100000	2	0	0	0	0	0	0	279
100000	2	0	0	0	0	0	0	280
100000	2	0	0	0	0	0	0	282
100000	2	0	0	0	0	0	0	283
100000	2	0	0	0	0	0	0	285
100000	2	0	0	0	0	0	0	286
100000	2	0	0	0	0	0	0	287
100000	2	0	0	0	0	0	0	289
100000	2	0	0	0	0	0	0	291
100000	2	0	0	0	0	0	0	292
100000	2	0	0	0	0	0	0	296
100000	2	0	0	0	0	0	0	298
100000	2	0	0	0	0	0	0	300
100000	2	0	0	0	0	0	0	304
100000	2	0	0	0	0	0	0	306
100000	2	0	0	0	0	0	0	310
100000	2	0	0	0	0	0	0	314
100000	2	0	0	0	0	0	0	318
100000	2	0	0	0	0	0	0	322
100000	2	0	0	0	0	0	0	326
100000	2	0	0	0	0	0	0	330
100000	2	0	0	0	0	0	0	334
100000	2	0	0	0	0	0	0	338
100000	2	0	0	0	0	0	0	342
100000	2	0	0	0	0	0	0	346
100000	2	0	0	0	0	0	0	350
100000	2	0	0	0	0	0	0	354
100000	2	0	0	0	0	0	0	358
100000	2	0	0	0	0	0	0	362
100000	2	0	0	0	0	0	0	366
100000	2	0	0	0	0	0	0	370
100000	2	0	0	0	0	0	0	374
100000	2	0	0	0	0	0	0	378
100000	2	0	0	0	0	0	0	382
100000	2	0	0	0	0	0	0	386
100000	2	0	0	0	0	0	0	390
100000	2	0	0	0	0	0	0	394
100000	2	0	0	0	0	0	0	397
100000	2	0	0	0	0	0	0	400
100000	2	0	0	0	0	0	0	404
100000	2	0	0	0	0	0	0	408
100000	2	0	0	0	0	0	0	412
100000	2	0	0	0	0	0	0	416
100000	2	0	0	0	0	0	0	420
100000	2	0	0	0	0	0	0	424
100000	2	0	0	0	0	0	0	428
100000	2	0	0	0	0	0	0	432
