Population	Exposed	TotalExposed	Symptomatic	Asymptomatic	Death	Recovered	TotalRecovered	MinutesPassed
30000	2	0	0	0	0	0	0	0
30000	2	0	0	0	0	0	0	1
30000	2	0	0	0	0	0	0	7
30000	2	0	0	0	0	0	0	13
30000	2	0	0	0	0	0	0	14
30000	2	0	0	0	0	0	0	16
30000	2	0	0	0	0	0	0	18
30000	2	0	0	0	0	0	0	19
30000	2	0	0	0	0	0	0	20
30000	2	0	0	0	0	0	0	21
30000	2	0	0	0	0	0	0	22
30000	2	0	0	0	0	0	0	24
30000	2	0	0	0	0	0	0	24
30000	2	0	0	0	0	0	0	25
30000	2	0	0	0	0	0	0	27
30000	2	0	0	0	0	0	0	27
30000	2	0	0	0	0	0	0	28
30000	2	0	0	0	0	0	0	30
30000	2	0	0	0	0	0	0	30
30000	2	0	0	0	0	0	0	31
30000	2	0	0	0	0	0	0	33
30000	2	0	0	0	0	0	0	33
30000	2	0	0	0	0	0	0	34
30000	2	0	0	0	0	0	0	36
30000	2	0	0	0	0	0	0	36
30000	2	0	0	0	0	0	0	37
30000	2	0	0	0	0	0	0	39
30000	2	0	0	0	0	0	0	39
30000	2	0	0	0	0	0	0	40
30000	2	0	0	0	0	0	0	42
30000	2	0	0	0	0	0	0	42
30000	2	0	0	0	0	0	0	43
30000	2	0	0	0	0	0	0	45
30000	2	0	0	0	0	0	0	46
30000	2	0	0	0	0	0	0	47
30000	2	0	0	0	0	0	0	48
30000	2	0	0	0	0	0	0	50
30000	2	0	0	0	0	0	0	51
30000	2	0	0	0	0	0	0	52
30000	2	0	0	0	0	0	0	53
30000	2	0	0	0	0	0	0	54
30000	2	0	0	0	0	0	0	55
30000	2	0	0	0	0	0	0	56
30000	2	0	0	0	0	0	0	57
30000	2	0	0	0	0	0	0	58
30000	2	0	0	0	0	0	0	59
30000	2	0	0	0	0	0	0	60
30000	2	0	0	0	0	0	0	61
30000	2	0	0	0	0	0	0	62
30000	2	0	0	0	0	0	0	63
30000	2	0	0	0	0	0	0	64
30000	2	0	0	0	0	0	0	65
30000	2	0	0	0	0	0	0	66
30000	2	0	0	0	0	0	0	67
30000	2	0	0	0	0	0	0	68
30000	2	0	0	0	0	0	0	69
30000	2	0	0	0	0	0	0	70
30000	2	0	0	0	0	0	0	71
30000	2	0	0	0	0	0	0	72
30000	2	0	0	0	0	0	0	73
30000	2	0	0	0	0	0	0	74
30000	2	0	0	0	0	0	0	75
30000	2	0	0	0	0	0	0	75
30000	2	0	0	0	0	0	0	76
30000	2	0	0	0	0	0	0	77
30000	2	0	0	0	0	0	0	78
30000	2	0	0	0	0	0	0	79
30000	2	0	0	0	0	0	0	80
30000	2	0	0	0	0	0	0	81
30000	2	0	0	0	0	0	0	82
30000	2	0	0	0	0	0	0	83
30000	2	0	0	0	0	0	0	84
30000	2	0	0	0	0	0	0	85
30000	2	0	0	0	0	0	0	86
30000	2	0	0	0	0	0	0	87
30000	2	0	0	0	0	0	0	88
30000	2	0	0	0	0	0	0	89
30000	2	0	0	0	0	0	0	90
30000	2	0	0	0	0	0	0	91
30000	2	0	0	0	0	0	0	92
30000	2	0	0	0	0	0	0	93
30000	2	0	0	0	0	0	0	94
30000	2	0	0	0	0	0	0	95
30000	2	0	0	0	0	0	0	96
30000	2	0	0	0	0	0	0	97
30000	2	0	0	0	0	0	0	98
30000	2	0	0	0	0	0	0	99
30000	2	0	0	0	0	0	0	100
30000	2	0	0	0	0	0	0	101
30000	2	0	0	0	0	0	0	101
30000	2	0	0	0	0	0	0	102
30000	2	0	0	0	0	0	0	103
30000	2	0	0	0	0	0	0	104
30000	2	0	0	0	0	0	0	105
30000	2	0	0	0	0	0	0	106
30000	2	0	0	0	0	0	0	107
30000	2	0	0	0	0	0	0	108
30000	2	0	0	0	0	0	0	109
30000	2	0	0	0	0	0	0	110
30000	2	0	0	0	0	0	0	111
30000	2	0	0	0	0	0	0	112
30000	2	0	0	0	0	0	0	113
30000	2	0	0	0	0	0	0	114
30000	2	0	0	0	0	0	0	115
30000	2	0	0	0	0	0	0	116
30000	2	0	0	0	0	0	0	117
30000	2	0	0	0	0	0	0	118
30000	2	0	0	0	0	0	0	119
30000	2	0	0	0	0	0	0	120
30000	2	0	0	0	0	0	0	121
30000	2	0	0	0	0	0	0	122
30000	2	0	0	0	0	0	0	123
30000	2	0	0	0	0	0	0	124
30000	2	0	0	0	0	0	0	125
30000	2	0	0	0	0	0	0	126
30000	2	0	0	0	0	0	0	127
30000	2	0	0	0	0	0	0	128
30000	2	0	0	0	0	0	0	129
30000	2	0	0	0	0	0	0	130
30000	2	0	0	0	0	0	0	131
30000	2	0	0	0	0	0	0	132
30000	2	0	0	0	0	0	0	133
30000	2	0	0	0	0	0	0	134
30000	2	0	0	0	0	0	0	135
30000	2	0	0	0	0	0	0	136
30000	2	0	0	0	0	0	0	137
30000	2	0	0	0	0	0	0	138
30000	2	0	0	0	0	0	0	139
30000	2	0	0	0	0	0	0	140
30000	2	0	0	0	0	0	0	141
30000	2	0	0	0	0	0	0	142
30000	2	0	0	0	0	0	0	143
30000	2	0	0	0	0	0	0	144
30000	2	0	0	0	0	0	0	145
30000	2	0	0	0	0	0	0	145
30000	2	0	0	0	0	0	0	146
