Population	Exposed	TotalExposed	Symptomatic	Asymptomatic	Death	Recovered	TotalRecovered	MinutesPassed
100000	2	0	0	0	0	0	0	0
100000	2	0	0	0	0	0	0	0
100000	2	0	0	0	0	0	0	4
100000	2	0	0	0	0	0	0	8
100000	2	0	0	0	0	0	0	10
100000	2	0	0	0	0	0	0	14
100000	2	0	0	0	0	0	0	18
100000	2	0	0	0	0	0	0	21
100000	2	0	0	0	0	0	0	25
100000	2	0	0	0	0	0	0	29
100000	2	0	0	0	0	0	0	33
100000	2	0	0	0	0	0	0	37
100000	2	0	0	0	0	0	0	41
100000	2	0	0	0	0	0	0	45
100000	2	0	0	0	0	0	0	49
100000	2	0	0	0	0	0	0	53
100000	2	0	0	0	0	0	0	57
100000	2	0	0	0	0	0	0	61
100000	2	0	0	0	0	0	0	65
100000	2	0	0	0	0	0	0	69
100000	2	0	0	0	0	0	0	73
100000	2	0	0	0	0	0	0	77
100000	2	0	0	0	0	0	0	81
100000	2	0	0	0	0	0	0	85
100000	2	0	0	0	0	0	0	89
100000	2	0	0	0	0	0	0	93
100000	2	0	0	0	0	0	0	97
100000	2	0	0	0	0	0	0	101
100000	2	0	0	0	0	0	0	105
100000	2	0	0	0	0	0	0	109
100000	2	0	0	0	0	0	0	113
100000	2	0	0	0	0	0	0	117
100000	2	0	0	0	0	0	0	121
100000	2	0	0	0	0	0	0	125
100000	2	0	0	0	0	0	0	129
100000	2	0	0	0	0	0	0	133
100000	2	0	0	0	0	0	0	137
100000	2	0	0	0	0	0	0	141
100000	2	0	0	0	0	0	0	145
100000	2	0	0	0	0	0	0	149
100000	2	0	0	0	0	0	0	153
100000	2	0	0	0	0	0	0	157
100000	2	0	0	0	0	0	0	161
100000	2	0	0	0	0	0	0	165
100000	2	0	0	0	0	0	0	169
100000	2	0	0	0	0	0	0	173
100000	2	0	0	0	0	0	0	177
100000	2	0	0	0	0	0	0	181
100000	2	0	0	0	0	0	0	185
100000	2	0	0	0	0	0	0	189
100000	2	0	0	0	0	0	0	193
100000	2	0	0	0	0	0	0	197
100000	2	0	0	0	0	0	0	201
100000	2	0	0	0	0	0	0	205
100000	2	0	0	0	0	0	0	209
100000	2	0	0	0	0	0	0	213
100000	2	0	0	0	0	0	0	217
100000	2	0	0	0	0	0	0	221
100000	2	0	0	0	0	0	0	225
100000	2	0	0	0	0	0	0	229
100000	2	0	0	0	0	0	0	233
100000	2	0	0	0	0	0	0	237
100000	2	0	0	0	0	0	0	241
100000	2	0	0	0	0	0	0	245
100000	2	0	0	0	0	0	0	249
100000	2	0	0	0	0	0	0	253
100000	2	0	0	0	0	0	0	257
100000	2	0	0	0	0	0	0	261
100000	2	0	0	0	0	0	0	265
100000	2	0	0	0	0	0	0	269
100000	2	0	0	0	0	0	0	273
100000	2	0	0	0	0	0	0	277
100000	2	0	0	0	0	0	0	281
100000	2	0	0	0	0	0	0	285
100000	2	0	0	0	0	0	0	289
100000	2	0	0	0	0	0	0	293
100000	2	0	0	0	0	0	0	297
100000	2	0	0	0	0	0	0	301
100000	2	0	0	0	0	0	0	305
100000	2	0	0	0	0	0	0	309
100000	2	0	0	0	0	0	0	313
100000	2	0	0	0	0	0	0	317
100000	2	0	0	0	0	0	0	321
100000	2	0	0	0	0	0	0	325
100000	2	0	0	0	0	0	0	329
100000	2	0	0	0	0	0	0	333
100000	2	0	0	0	0	0	0	337
100000	2	0	0	0	0	0	0	341
100000	2	0	0	0	0	0	0	345
100000	2	0	0	0	0	0	0	349
100000	2	0	0	0	0	0	0	353
100000	2	0	0	0	0	0	0	357
100000	2	0	0	0	0	0	0	361
100000	2	0	0	0	0	0	0	365
100000	2	0	0	0	0	0	0	369
100000	2	0	0	0	0	0	0	373
100000	2	0	0	0	0	0	0	377
100000	2	0	0	0	0	0	0	381
100000	2	0	0	0	0	0	0	385
100000	2	0	0	0	0	0	0	389
100000	2	0	0	0	0	0	0	393
100000	2	0	0	0	0	0	0	397
100000	2	0	0	0	0	0	0	401
100000	2	0	0	0	0	0	0	405
100000	2	0	0	0	0	0	0	409
100000	2	0	0	0	0	0	0	413
100000	2	0	0	0	0	0	0	417
100000	2	0	0	0	0	0	0	421
100000	2	0	0	0	0	0	0	425
100000	2	0	0	0	0	0	0	429
100000	2	0	0	0	0	0	0	433
100000	2	0	0	0	0	0	0	437
100000	2	0	0	0	0	0	0	441
100000	2	0	0	0	0	0	0	445
100000	2	0	0	0	0	0	0	449
100000	2	0	0	0	0	0	0	453
100000	2	0	0	0	0	0	0	457
100000	2	0	0	0	0	0	0	461
100000	2	0	0	0	0	0	0	465
100000	2	0	0	0	0	0	0	469
100000	2	0	0	0	0	0	0	473
100000	2	0	0	0	0	0	0	477
100000	2	0	0	0	0	0	0	481
100000	2	0	0	0	0	0	0	485
100000	2	0	0	0	0	0	0	489
100000	2	0	0	0	0	0	0	493
100000	2	0	0	0	0	0	0	497
100000	2	0	0	0	0	0	0	501
100000	2	0	0	0	0	0	0	505
100000	2	0	0	0	0	0	0	509
100000	2	0	0	0	0	0	0	513
100000	2	0	0	0	0	0	0	517
100000	2	0	0	0	0	0	0	521
100000	2	0	0	0	0	0	0	525
100000	2	0	0	0	0	0	0	529
100000	2	0	0	0	0	0	0	533
100000	2	0	0	0	0	0	0	537
100000	2	0	0	0	0	0	0	541
100000	2	0	0	0	0	0	0	545
100000	2	0	0	0	0	0	0	549
100000	2	0	0	0	0	0	0	553
100000	2	0	0	0	0	0	0	557
100000	2	0	0	0	0	0	0	561
100000	2	0	0	0	0	0	0	565
100000	2	0	0	0	0	0	0	569
100000	2	0	0	0	0	0	0	573
100000	2	0	0	0	0	0	0	577
100000	2	0	0	0	0	0	0	581
100000	2	0	0	0	0	0	0	585
100000	2	0	0	0	0	0	0	589
100000	2	0	0	0	0	0	0	593
100000	2	0	0	0	0	0	0	597
100000	2	0	0	0	0	0	0	601
100000	2	0	0	0	0	0	0	605
100000	2	0	0	0	0	0	0	609
100000	2	0	0	0	0	0	0	613
100000	2	0	0	0	0	0	0	617
100000	2	0	0	0	0	0	0	621
